graph_id,construction_type,N,k_target,provenance_seed,degree_mean,degree_std,degree_min,degree_max,degree_kurtosis,centrality_mean,edge_algebraic_label_mean,omega_exact,alpha_exact,omega_lower,omega_upper,alpha_lower,alpha_upper,theta_approx,spectral_gap,is_k_free,triangles,k4,n_1_over_k,exact,gpu_kernel,run001,field,device,adj_matrix_path,algebraic_residue_vec_0,algebraic_residue_vec_1,algebraic_residue_vec_2,algebraic_residue_vec_3,algebraic_residue_vec_4,algebraic_residue_vec_5,algebraic_residue_vec_6,algebraic_residue_vec_7,algebraic_residue_vec_8,algebraic_residue_vec_9,job,cell,kernel,symmetry,params,scale,runtime_sec
circulant_r4_n19,circulant_r4,19,5,19,6.0,0.0,6.0,6.0,0.0,0.33333333333333326,0.3333333333333333,3,4,3,3,4,4,5.240429751206531,3.4929813559070237,True,38,-1,1.8019831273171423,True,K4-free neighbourhood ILS + FFT Hoffman,not_done,Z/19Z,numpy-openblas,data/adj/circulant_r4_n19.npy,0,1,1,0,1,0,0,0,0,0,3b,"R(4,k)",fft,circulant,"{""n"": 19, ""S"": [2, 3, 5, 14, 16, 17], ""k4_free"": true, ""score"": 5.240429751206531}",local,
circulant_r4_n23,circulant_r4,23,7,23,6.0,0.0,6.0,6.0,0.0,0.27272727272727265,0.2727272727272727,3,6,3,3,6,6,7.029010083984329,1.7889290634047885,True,46,-1,1.5650656079602396,True,K4-free neighbourhood ILS + FFT Hoffman,not_done,Z/23Z,numpy-openblas,data/adj/circulant_r4_n23.npy,1,0,0,0,1,1,0,0,0,0,3b,"R(4,k)",fft,circulant,"{""n"": 23, ""S"": [1, 5, 6, 17, 18, 22], ""k4_free"": true, ""score"": 7.029010083984329}",local,
circulant_r4_n29,circulant_r4,29,7,29,10.0,0.0,10.0,10.0,0.0,0.3571428571428572,0.35714285714285715,3,6,3,3,6,6,8.590546756444839,6.613019424855161,True,116,-1,1.6177596522879036,True,K4-free neighbourhood ILS + FFT Hoffman,not_done,Z/29Z,numpy-openblas,data/adj/circulant_r4_n29.npy,1,1,0,0,1,0,0,0,0,1,3b,"R(4,k)",fft,circulant,"{""n"": 29, ""S"": [1, 2, 5, 10, 11, 18, 19, 24, 27, 28], ""k4_free"": true, ""score"": 8.590546756444839}",local,
circulant_r4_n31,circulant_r4,31,8,31,10.0,0.0,10.0,10.0,0.0,0.3333333333333335,0.3333333333333333,3,7,3,3,7,7,9.55992363179865,6.746996426541852,True,93,-1,1.536102555746382,True,K4-free neighbourhood ILS + FFT Hoffman,not_done,Z/31Z,numpy-openblas,data/adj/circulant_r4_n31.npy,0,1,0,0,0,1,0,1,1,0,3b,"R(4,k)",fft,circulant,"{""n"": 31, ""S"": [2, 6, 8, 9, 13, 18, 22, 23, 25, 29], ""k4_free"": true, ""score"": 9.55992363179865}",local,
circulant_r4_n37,circulant_r4,37,9,37,12.0,0.0,12.0,12.0,0.0,0.33333333333333337,0.3333333333333333,3,8,3,3,8,8,10.261747695950467,7.617343753866274,True,222,-1,1.4936355304176858,True,K4-free neighbourhood ILS + FFT Hoffman,not_done,Z/37Z,numpy-openblas,data/adj/circulant_r4_n37.npy,1,0,0,0,1,1,0,1,1,0,3b,"R(4,k)",fft,circulant,"{""n"": 37, ""S"": [1, 5, 6, 8, 9, 16, 21, 28, 29, 31, 32, 36], ""k4_free"": true, ""score"": 10.261747695950467}",local,
circulant_r4_n41,circulant_r4,41,7,41,20.0,0.0,20.0,20.0,0.0,0.5,0.5,6,5,6,6,5,5,12.81690876302661,15.333491456498212,True,1107,-1,1.6997994869342874,True,K4-free neighbourhood ILS + FFT Hoffman,not_done,Z/41Z,numpy-openblas,data/adj/circulant_r4_n41.npy,1,0,0,1,0,1,0,1,0,1,3b,"R(4,k)",fft,circulant,"{""n"": 41, ""S"": [1, 4, 6, 8, 10, 12, 13, 15, 16, 17, 24, 25, 26, 28, 29, 31, 33, 35, 37, 40], ""k4_free"": false, ""score"": 1000000000.0}",local,
circulant_r4_n43,circulant_r4,43,11,43,14.0,0.0,14.0,14.0,0.0,0.33333333333333337,0.3333333333333333,3,10,3,3,10,10,12.783345008505744,8.290075102162069,True,387,-1,1.407657933475101,True,K4-free neighbourhood ILS + FFT Hoffman,not_done,Z/43Z,numpy-openblas,data/adj/circulant_r4_n43.npy,0,0,1,0,0,1,0,1,0,0,3b,"R(4,k)",fft,circulant,"{""n"": 43, ""S"": [3, 6, 8, 11, 16, 17, 18, 25, 26, 27, 32, 35, 37, 40], ""k4_free"": true, ""score"": 12.783345008505744}",local,
circulant_r4_n47,circulant_r4,47,8,47,30.0,0.0,30.0,30.0,0.0,0.652173913043478,0.6521739130434783,7,5,7,7,5,5,9.207437335818923,23.84523286824283,True,4230,-1,1.6181256127680217,True,K4-free neighbourhood ILS + FFT Hoffman,not_done,Z/47Z,numpy-openblas,data/adj/circulant_r4_n47.npy,1,0,1,0,1,0,1,1,1,1,3b,"R(4,k)",fft,circulant,"{""n"": 47, ""S"": [1, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 26, 28, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 42, 44, 46], ""k4_free"": false, ""score"": 1000000000.0}",local,
cyclotomic_union_p13_e4_mask10,cyclotomic_union,13,4,13,6.0,0.0,6.0,6.0,0.0,0.5,0.5,3,3,3,3,3,3,3.6055512754639896,4.697224362268005,True,26,-1,1.8988289221159418,True,O(p) orbits + FFT Hoffman ranker,not_done,F_13,numpy-openblas,data/adj/cyclotomic_union_p13_e4_mask10.npy,0,1,0,0,1,1,1,1,0,0,2a,cert,fft,circulant,"{""p"": 13, ""e"": 4, ""mask"": 10, ""ranker_score"": 3.6055512754639896}",local,
cyclotomic_union_p13_e4_mask5,cyclotomic_union,13,4,13,6.0,0.0,6.0,6.0,0.0,0.5,0.5,3,3,3,3,3,3,3.6055512754639896,4.697224362268005,True,26,-1,1.8988289221159418,True,O(p) orbits + FFT Hoffman ranker,not_done,F_13,numpy-openblas,data/adj/cyclotomic_union_p13_e4_mask5.npy,1,0,1,1,0,0,0,0,1,1,2a,cert,fft,circulant,"{""p"": 13, ""e"": 4, ""mask"": 5, ""ranker_score"": 3.6055512754639896}",local,
