graph_id,construction_type,N,k_target,provenance_seed,degree_mean,degree_std,degree_min,degree_max,degree_kurtosis,centrality_mean,edge_algebraic_label_mean,omega_exact,alpha_exact,omega_lower,omega_upper,alpha_lower,alpha_upper,theta_approx,spectral_gap,is_k_free,triangles,k4,n_1_over_k,exact,gpu_kernel,run001,field,device,adj_matrix_path,algebraic_residue_vec_0,algebraic_residue_vec_1,algebraic_residue_vec_2,algebraic_residue_vec_3,algebraic_residue_vec_4,algebraic_residue_vec_5,algebraic_residue_vec_6,algebraic_residue_vec_7,algebraic_residue_vec_8,algebraic_residue_vec_9,runtime_sec,params
generalized_paley_p113_k4,generalized_paley,113,14,113,28.0,0.0,28.0,28.0,0.0,0.25,0.25,,,5,6,13,13,17.421880958286856,20.752383218335943,True,4746,-1,1.4016786561858603,False,outer_diff + kth_power_residue,not_done,F_113,numpy-openblas,data/adj/generalized_paley_p113_k4.npy,1,1,0,1,0,0,1,1,0,0,0.001,"{""p"": 113, ""k"": 4}"
generalized_paley_p137_k4,generalized_paley,137,12,137,34.0,0.0,34.0,34.0,0.0,0.25,0.25,,,5,9,10,11,15.035928737419939,25.56023565654812,True,9316,-1,1.5068153900063055,False,outer_diff + kth_power_residue,not_done,F_137,numpy-openblas,data/adj/generalized_paley_p137_k4.npy,1,0,0,1,0,0,0,0,0,0,0.0013,"{""p"": 137, ""k"": 4}"
generalized_paley_p13_k6,generalized_paley,13,7,13,2.0,0.0,2.0,2.0,0.0,0.16666666666666666,0.16666666666666666,2,6,2,2,6,6,6.404168562937426,0.22908794869358018,True,0,0,1.4425629194429777,True,outer_diff + kth_power_residue,not_done,F_13,numpy-openblas,data/adj/generalized_paley_p13_k6.npy,1,0,0,0,0,0,0,0,0,0,0.0004,"{""p"": 13, ""k"": 6}"
generalized_paley_p37_k6,generalized_paley,37,10,37,6.0,0.0,6.0,6.0,0.0,0.16666666666666669,0.16666666666666666,,,3,3,9,9,11.299553025848544,1.9521873094801245,True,74,0,1.4348951656753595,False,outer_diff + kth_power_residue,not_done,F_37,numpy-openblas,data/adj/generalized_paley_p37_k6.npy,1,0,0,0,0,0,0,0,0,1,0.0009,"{""p"": 37, ""k"": 6}"
generalized_paley_p61_k6,generalized_paley,61,15,61,10.0,0.0,10.0,10.0,0.0,0.1666666666666666,0.16666666666666666,,,2,2,14,14,20.579826467705026,6.585426806791563,True,0,-1,1.315291425743713,False,outer_diff + kth_power_residue,not_done,F_61,numpy-openblas,data/adj/generalized_paley_p61_k6.npy,1,0,1,0,0,0,0,0,1,0,0.0004,"{""p"": 61, ""k"": 6}"
generalized_paley_p73_k6,generalized_paley,73,17,73,12.0,0.0,12.0,12.0,0.0,0.16666666666666666,0.16666666666666666,,,3,3,16,16,18.396415210217782,7.417789069219284,True,292,-1,1.2870849943718612,False,outer_diff + kth_power_residue,not_done,F_73,numpy-openblas,data/adj/generalized_paley_p73_k6.npy,1,0,1,0,0,0,0,1,1,0,0.0006,"{""p"": 73, ""k"": 6}"
generalized_paley_p97_k6,generalized_paley,97,19,97,16.0,0.0,16.0,16.0,0.0,0.16666666666666669,0.16666666666666666,,,2,3,18,18,29.306545234499612,12.419308301601436,True,0,-1,1.272233811408365,False,outer_diff + kth_power_residue,not_done,F_97,numpy-openblas,data/adj/generalized_paley_p97_k6.npy,1,0,0,0,0,0,0,1,0,0,0.0008,"{""p"": 97, ""k"": 6}"
generalized_paley_p109_k6,generalized_paley,109,20,109,18.0,0.0,18.0,18.0,0.0,0.1666666666666667,0.16666666666666666,,,3,3,19,19,30.216758306771293,11.926051098417236,True,654,-1,1.2643616800964834,False,outer_diff + kth_power_residue,not_done,F_109,numpy-openblas,data/adj/generalized_paley_p109_k6.npy,1,0,0,1,0,0,0,0,0,0,0.0011,"{""p"": 109, ""k"": 6}"
generalized_paley_p157_k6,generalized_paley,157,26,157,26.0,0.0,26.0,26.0,0.0,0.16666666666666666,0.16666666666666666,,,2,3,25,25,42.11608135068012,20.406695658894442,True,0,-1,1.214668247901078,False,outer_diff + kth_power_residue,not_done,F_157,numpy-openblas,data/adj/generalized_paley_p157_k6.npy,1,0,0,1,0,0,0,0,0,0,0.002,"{""p"": 157, ""k"": 6}"
generalized_paley_p181_k6,generalized_paley,181,23,181,30.0,0.0,30.0,30.0,0.0,0.16666666666666666,0.16666666666666666,,,3,4,22,22,41.65147628686134,23.92799829128277,True,1810,-1,1.2536027554100138,False,outer_diff + kth_power_residue,not_done,F_181,numpy-openblas,data/adj/generalized_paley_p181_k6.npy,1,0,0,0,1,0,0,0,0,0,0.0027,"{""p"": 181, ""k"": 6}"
